movie_id,original_title,primary_title,start_year,averagerating,numvotes,id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,gross_earnings
tt0770703,What's Your Number?,What's Your Number?,2011,6.1,67922,24,"Sep 30, 2011",What's Your Number?,,,,
tt0770802,Samsara,Samsara,2011,8.5,29725,18,"Aug 24, 2012",Samsara,,,,
tt0770828,Man of Steel,Man of Steel,2013,7.1,647288,29,"Jun 14, 2013",Man of Steel,,,,
tt0775489,L'illusionniste,The Illusionist,2010,7.5,31734,7,"Dec 25, 2010",L'illusionniste,,,,
tt0780504,Drive,Drive,2011,7.8,521495,36,"Sep 16, 2011",Drive,,,,
tt0780653,The Wolfman,The Wolfman,2010,5.8,97873,91,"Feb 12, 2010",The Wolfman,,,,
tt0787474,The Boxtrolls,The Boxtrolls,2014,6.8,50763,94,"Sep 26, 2014",The Boxtrolls,,,,
tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,7.2,43575,67,"Apr 29, 2016",The Man Who Knew Infinity,,,,
tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,5.9,67549,7,"Mar 15, 2013",The Incredible Burt Wonderstone,,,,
tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,8.0,402462,73,"Nov 1, 2013",Dallas Buyers Club,,,,
tt0790724,Jack Reacher,Jack Reacher,2012,7.0,284547,68,"Dec 21, 2012",Jack Reacher,,,,
tt0790736,R.I.P.D.,R.I.P.D.,2013,5.6,109078,55,"Jul 19, 2013",R.I.P.D.,,,,
tt0800320,Clash of the Titans,Clash of the Titans,2010,5.8,256176,72,"Apr 1, 2010",Clash of the Titans,,,,
tt0800320,Clash of the Titans,Clash of the Titans,2010,5.8,256176,51,"Jun 12, 1981",Clash of the Titans,,,,
tt0800353,Nemesis,Nemesis,2010,6.6,67,30,"Jan 29, 1993",Nemesis,,,,
tt0800369,Thor,Thor,2011,7.0,683264,70,"May 6, 2011",Thor,,,,
tt0803061,Red Dog,Red Dog,2011,7.4,15357,67,"Dec 31, 2011",Red Dog,,,,
tt0803096,Warcraft,Warcraft,2016,6.9,225557,46,"Jun 10, 2016",Warcraft,,,,
tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,7.1,125583,1,"Oct 8, 2010",It's Kind of a Funny Story,,,,
tt0808510,Tooth Fairy,Tooth Fairy,2010,5.0,37939,23,"Jan 22, 2010",Tooth Fairy,,,,
tt0810913,Jack and Jill,Jack and Jill,2011,3.3,71361,11,"Nov 11, 2011",Jack and Jill,,,,
tt0810922,Take Me Home Tonight,Take Me Home Tonight,2011,6.3,48393,48,"Mar 4, 2011",Take Me Home Tonight,,,,
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,165108,17,"Feb 12, 2010",Percy Jackson & the Olympians: The Lightning Thief,,,,
tt0815236,She's Out of My League,She's Out of My League,2010,6.4,117245,62,"Mar 12, 2010",She's Out of My League,,,,
tt0816442,The Book Thief,The Book Thief,2013,7.6,119023,41,"Nov 8, 2013",The Book Thief,,,,
tt0816462,Conan the Barbarian,Conan the Barbarian,2011,5.2,90834,76,"Aug 19, 2011",Conan the Barbarian,,,,
tt0816462,Conan the Barbarian,Conan the Barbarian,2011,5.2,90834,44,"May 14, 1982",Conan the Barbarian,,,,
tt0816692,Interstellar,Interstellar,2014,8.6,1299334,32,"Nov 5, 2014",Interstellar,,,,
tt0816711,World War Z,World War Z,2013,7.0,553751,69,"Jun 21, 2013",World War Z,,,,
tt0817177,Flipped,Flipped,2010,7.7,74937,22,"Aug 6, 2010",Flipped,,,,
tt0817230,Valentine's Day,Valentine's Day,2010,5.7,107171,70,"Feb 12, 2010",Valentine's Day,,,,
tt0822847,Priest,Priest,2011,5.7,108320,29,"May 13, 2011",Priest,,,,
tt0829150,Dracula Untold,Dracula Untold,2014,6.3,164829,21,"Oct 10, 2014",Dracula Untold,,,,
tt0831387,Godzilla,Godzilla,2014,6.4,350687,41,"May 16, 2014",Godzilla,,,,
tt0831387,Godzilla,Godzilla,2014,6.4,350687,74,"May 19, 1998",Godzilla,,,,
tt0837562,Hotel Transylvania,Hotel Transylvania,2012,7.1,204571,96,"Sep 28, 2012",Hotel Transylvania,,,,
tt0837563,Pet Sematary,Pet Sematary,2019,6.0,34472,61,"Apr 5, 2019",Pet Sematary,,,,
tt0837563,Pet Sematary,Pet Sematary,2019,6.0,34472,61,"Apr 21, 1989",Pet Sematary,,,,
tt0840361,The Town,The Town,2010,7.6,322524,92,"Sep 17, 2010",The Town,,,,
tt0842926,The Kids Are All Right,The Kids Are All Right,2010,7.0,120656,87,"Jul 9, 2010",The Kids Are All Right,,,,
tt0848228,The Avengers,The Avengers,2012,8.1,1183655,27,"May 4, 2012",The Avengers,,,,
tt0848228,The Avengers,The Avengers,2012,8.1,1183655,35,"Aug 14, 1998",The Avengers,,,,
tt0848537,Epic,Epic,2013,6.7,95318,77,"May 24, 2013",Epic,,,,
tt0850709,Risen,Risen,2010,5.3,182,48,"Feb 19, 2016",Risen,,,,
tt0857190,The Sweeney,The Sweeney,2012,6.1,18095,53,"Mar 1, 2013",The Sweeney,,,,
tt0864835,Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014,6.8,57277,1,"Mar 7, 2014",Mr. Peabody & Sherman,,,,
tt0872230,My Soul to Take,My Soul to Take,2010,4.8,18381,68,"Oct 8, 2010",My Soul to Take,,,,
tt0873886,Red State,Red State,2011,6.2,59266,22,"Sep 23, 2011",Red State,,,,
tt0878835,Please Give,Please Give,2010,6.6,10652,15,"Apr 30, 2010",Please Give,,,,
tt0879870,Eat Pray Love,Eat Pray Love,2010,5.8,77709,67,"Aug 13, 2010",Eat Pray Love,,,,
tt0881320,Sanctum,Sanctum,2011,5.9,51318,45,"Feb 4, 2011",Sanctum,,,,
tt0882977,Snitch,Snitch,2013,6.5,78142,26,"Feb 22, 2013",Snitch,,,,
tt0882977,Snitch,Snitch,2013,6.5,78142,52,"Dec 31, 2012",Snitch,,,,
tt0884732,The Wedding Ringer,The Wedding Ringer,2015,6.7,66893,73,"Jan 16, 2015",The Wedding Ringer,,,,
tt0889573,The Switch,The Switch,2010,6.1,90661,39,"Aug 20, 2010",The Switch,,,,
tt0892318,Letters to Juliet,Letters to Juliet,2010,6.6,86137,89,"May 14, 2010",Letters to Juliet,,,,
tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,8.1,611299,30,"Mar 26, 2010",How to Train Your Dragon,,,,
tt0892791,Shrek Forever After,Shrek Forever After,2010,6.3,167532,27,"May 21, 2010",Shrek Forever After,,,,
tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,7.9,719629,19,"Dec 14, 2012",The Hobbit: An Unexpected Journey,,,,
tt0905372,The Thing,The Thing,2011,6.2,111900,77,"Oct 14, 2011",The Thing,,,,
tt0918940,The Legend of Tarzan,The Legend of Tarzan,2016,6.3,150154,88,"Jul 1, 2016",The Legend of Tarzan,,,,
tt0923653,The Dead Undead,The Dead Undead,2010,3.0,791,7,"Dec 31, 2010",The Dead Undead,,,,
tt0935075,Rabbit Hole,Rabbit Hole,2010,7.0,45357,52,"Dec 17, 2010",Rabbit Hole,,,,
tt0938283,The Last Airbender,The Last Airbender,2010,4.1,137734,83,"Jul 1, 2010",The Last Airbender,,,,
tt0938305,Freaky Deaky,Freaky Deaky,2012,6.1,6088,94,"Dec 31, 2011",Freaky Deaky,,,,
tt0944835,Salt,Salt,2010,6.4,277204,50,"Jul 23, 2010",Salt,,,,
tt0945513,Source Code,Source Code,2011,7.5,452036,96,"Apr 1, 2011",Source Code,,,,
tt0947798,Black Swan,Black Swan,2010,8.0,648854,46,"Dec 3, 2010",Black Swan,,,,
tt0947810,Green Zone,Green Zone,2010,6.8,122132,98,"Mar 12, 2010",Green Zone,,,,
tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,2012,7.0,525632,31,"Jul 3, 2012",The Amazing Spider-Man,,,,
tt0954947,The Killer Inside Me,The Killer Inside Me,2010,6.1,31727,11,"Jun 18, 2010",The Killer Inside Me,,,,
tt0955308,Robin Hood,Robin Hood,2010,6.6,239480,39,"May 14, 2010",Robin Hood,,,,
tt0955308,Robin Hood,Robin Hood,2010,6.6,239480,9,"Nov 21, 2018",Robin Hood,,,,
tt0959306,Reach Me,Reach Me,2014,4.9,2304,90,"Nov 21, 2014",Reach Me,,,,
tt0959329,Nine Dead,Nine Dead,2010,5.5,11358,82,"Dec 31, 2009",Nine Dead,,,,
tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,6.1,143862,44,"Jul 14, 2010",The Sorcerer's Apprentice,,,,
tt0964517,The Fighter,The Fighter,2010,7.8,316539,68,"Dec 10, 2010",The Fighter,,,,
tt0968264,The Conspirator,The Conspirator,2010,6.9,26416,80,"Apr 15, 2011",The Conspirator,,,,
tt0970179,Hugo,Hugo,2011,7.5,284869,89,"Nov 23, 2011",Hugo,,,,
tt0970866,Little Fockers,Little Fockers,2010,5.5,99222,70,"Dec 22, 2010",Little Fockers,,,,
tt0974015,Justice League,Justice League,2017,6.5,329135,9,"Nov 17, 2017",Justice League,,,,
tt0977855,Fair Game,Fair Game,2010,6.8,43862,90,"Nov 3, 1995",Fair Game,,,,
tt0978764,Sucker Punch,Sucker Punch,2011,6.1,218371,62,"Mar 25, 2011",Sucker Punch,,,,
tt0979434,Lottery Ticket,Lottery Ticket,2010,5.0,10042,90,"Aug 20, 2010",Lottery Ticket,,,,
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,129663,48,"Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Dawn Treader,,,,
tt0983193,The Adventures of Tintin,The Adventures of Tintin,2011,7.3,202430,52,"Dec 21, 2011",The Adventures of Tintin,,,,
tt0985694,Machete,Machete,2010,6.6,182320,18,"Sep 3, 2010",Machete,,,,
